Facility,SOURCEID,AIID,LATITUDE,LONGITUDE,PERMITTYPE,NAICS_CODE,INVENTORY,EMISSIONUN,CO,NOX,SO2,VOC,LEAD,PM10,PM25,NH3
Buhler Versatile USA Inc,2706700062,94287,45.115,-95.0773,D,333111,2017,TON,0.193,0.2298,0.001379,4.31264,0.000001149,2.131195,1.7679879,0.007352
Builders Sand & Gravel Co - Nonmetallic,2710900095,1691,44.02776513,-92.46492374,NM,212321,2019,TON,,,,,,0.417571,0.0975884,
Builders Sand & Gravel Co - Nonmetallic,2710900095,1691,44.02776513,-92.46492374,NM,212321,2018,TON,0,0,0,0,0,0.540789,0.12611,0
Builders Sand & Gravel Co - Nonmetallic,2710900095,1691,44.02776513,-92.46492374,NM,212321,2017,TON,,,,,,0.499544,0.115868,
Burnsville Center Dispersed Generation,2703700323,61900,44.74152997,-93.29128858,C,221121,2019,TON,0.5653,2.6262,0.17261,0.21435,,0.18938,0.189378,0.01261
Burnsville Center Dispersed Generation,2703700323,61900,44.74152997,-93.29128858,C,221121,2018,TON,0.27821,1.2926,0.08496,0.1055,0,0.0932175,0.0932175,0.006206
Burnsville Center Dispersed Generation,2703700323,61900,44.74152997,-93.29128858,C,221121,2017,TON,0.26187,1.2164,0.07996,0.09928,,0.08772,0.0877246,0.00584
Burnsville Sanitary Landfill,2703700192,279,44.79039696,-93.23738221,R,562212,2018,TON,146.34,103.302,14.403,6.19295,0,19.685,18.03892,0
Burnsville Sanitary Landfill,2703700192,2010,44.79039696,-93.23738221,R,221121,2017,TON,155.31,107.301,16.004,6.58559,,20.7494,19.25362,
Burnsville Sanitary Landfill Inc,2703700192,279,44.79039696,-93.23738221,R,562212,2019,TON,183.03,130,16.206,6.96082,,20.86334,19.72893,
Burnsville Yard Waste Compost Facility,2703700287,4268,44.7813,-93.3124,D,562219,2019,TON,1.009,4.687,0.3081,0.3826,,3.596,1.624342,0.0225
Burnsville Yard Waste Compost Facility,2703700287,4268,44.7813,-93.3124,D,562219,2018,TON,0,0,0,0,0,3.088,1.22407,0
Burnsville Yard Waste Compost Facility,2703700287,4268,44.7813,-93.3124,D,562219,2017,TON,0.08736,0.4059,0.02668,0.03313,,2.92927,1.1704645,0.001949
Bursch Brothers Inc - Nonmetallic,2717100078,1562,45.15794699,-93.65833566,NM,212312,2019,TON,0.02818,0.1393,0.01565,0.01127,,0.0115552,0.01138678,
Bursch Brothers Inc - Nonmetallic,2717100078,1562,45.15794699,-93.65833566,NM,212312,2018,TON,0.03006,0.1487,0.0167,0.01203,0,0.01002,0.01002,0
Bursch Brothers Inc - Nonmetallic,2717100078,1562,45.15794699,-93.65833566,NM,212312,2017,TON,0.02863,0.1416,0.01591,0.01145,,0.0247595,0.01207902,
Bury & Carlson Inc,2703700267,1276,0,0,NM,212321,2019,TON,0.2856,1.412,0.1587,0.1142,,0.436419,0.182854,
Bury & Carlson Inc,2703700267,1276,0,0,NM,212321,2018,TON,0.2327,1.151,0.1293,0.09309,0,0.347003,0.146348,0
Bury & Carlson Inc,2703700267,1276,0,0,NM,212321,2017,TON,0.4374,2.163,0.243,0.175,,0.70944,0.289963,
Busch Agricultural Resources - Moorhead Malt Plant,2702700022,1015,46.8531,-96.7392,R,311213,2019,TON,18.87605,63.38814,3.667167,1.235735,0.0001119,46.24701317,27.44955767,0.728249
Busch Agricultural Resources - Moorhead Malt Plant,2702700022,1015,46.8531,-96.7392,R,311213,2018,TON,18.3625,61.5742,2.630031,1.203826,0.0001089,42.68150238,25.15260708,0.697145
Busch Agricultural Resources - Moorhead Malt Plant,2702700022,1015,46.8531,-96.7392,R,311213,2017,TON,17.89514,59.76292,0.8469355,1.1738634,0.00010638,44.6235085,26.3457811,0.6809595
Bushmills Ethanol,2706700061,93894,45.1367,-94.804,R,325193,2019,TON,21.009164,107.03346,4.089,69.339128,0.000420808,36.72189074,29.33740074,3.359538
Bushmills Ethanol,2706700061,93894,45.1367,-94.804,R,325193,2018,TON,16.466191,49.93955,24.3982376,74.4352291,0.000342365,54.84397907,46.87898507,2.358216
Bushmills Ethanol,2706700061,93894,45.1367,-94.804,R,325193,2017,TON,10.6049844,79.48241,25.6028882,75.1095922,0.0003513,30.80653368,28.58523368,2.24807105
CAB Construction Co,2701300103,39248,44.1809,-93.9935,D,332312,2019,TON,0.1084,0.3612,0.000774,4.137095,0.000000645,0.6606708,0.5482547,0.004128
CAB Construction Co,2701300103,39248,44.1809,-93.9935,D,332312,2018,TON,0.1861,0.6202,0.001329,4.52218,0.000001108,0.8111518,0.6730525,0.007088
CAB Construction Co,2701300103,39248,44.1809,-93.9935,D,332312,2017,TON,0.1067,0.3556,0.000762,3.946985,0.000000635,0.8106604,0.6726461,0.004064
Cabinet Components & Distribution Inc,2714500180,122675,45.7267,-94.9566,D,423310,2019,TON,0.06888,0.082,0.000492,8.26451,0.00000041,15.3504264,7.8567526,0.002624
Cabinet Components & Distribution Inc,2714500180,122675,45.7267,-94.9566,D,423310,2018,TON,0.09114,0.1085,0.000651,10.135968,5.425E-07,15.2005642,7.8247666,0.003472
Cabinet Components & Distribution Inc,2714500180,122675,45.7267,-94.9566,D,423310,2017,TON,0.09114,0.1085,0.000651,10.135968,5.425E-07,15.2005642,7.8247666,0.003472
Calumet Elevator,2705301205,122678,44.9812,-93.2175,D,493130,2018,TON,0,0,0,0,0,,,0
Cambria Co,2707900045,34555,44.49400521,-93.86911884,R,327991,2019,TON,4.015,22.8369,0.038607,18.6897632,,0.37584494,0.259289242,0.22147
Cambria Co,2707900045,34555,44.49400521,-93.86911884,R,327991,2018,TON,2.36044,26.144,1.5904614,17.00302042,0,1.885396,1.77964778,0.183823
Cambria Co,2707900045,34555,44.4946,-93.8683,R,327991,2017,TON,2.3666,18.3064,1.0643491,42.634924,,4.8462368,4.10725022,0.151104
Camp Ripley,2709700023,335,0,0,D,928110,2019,TON,5.68303,9.7308,0.26913948,4.186774,0.00002853,0.30075003,0.290219826,0.200955
Camp Ripley,2709700023,335,0,0,D,928110,2018,TON,4.57035,6.2553,0.08197019,5.682678,0.00002558,0.193174,0.1666369,0.168327
Camp Ripley,2709700023,335,0,0,D,928110,2017,TON,4.43863,6.9912,0.15936789,5.274613,0.0000234,0.1886569,0.17782635,0.16018
Cannon Equipment Midwest,2704900067,4487,44.51831818,-92.90499878,D,332999,2019,TON,1.258,1.498,0.008988,0.08239,0.00000749,0.59345,0.487612,0.04794
Cannon Equipment Midwest,2704900067,4487,44.51831818,-92.90499878,D,332999,2018,TON,1.173,1.397,0.008379,0.07681,0.000006983,0.494233,0.40442,0.04469
Cannon Equipment Midwest,2704900067,4487,44.51831818,-92.90499878,D,332999,2017,TON,1.173,1.397,0.008379,0.07681,0.000006983,0.494232,0.40442,0.04469
Cardiac Pacemakers Inc/Boston Scientific,2712300622,4480,45.0659,-93.156,D,33451,2019,TON,4.329707,5.65519,0.109553,19.569411,0.000026006,0.05645,0.05097534,0.1631983
Cardiac Pacemakers Inc/Boston Scientific,2712300622,4480,45.0659,-93.156,D,33451,2018,TON,4.0564343,5.209583,0.106889272,20.8090411,0.000025085,0.050581251,0.045150046,0.15305458
Cardiac Pacemakers Inc/Boston Scientific,2712300622,4480,45.0659,-93.156,D,33451,2017,TON,3.868323,5.11434,0.10181538,17.0775367,0.000023128,0.05858543,0.053708254,0.14445724
Carfair Composites USA Inc,2714500185,150092,45.48556404,-94.13624751,R,326199,2019,TON,0.0744,0.372,0.002232,29.44666,,8.5105664,7.3267072,0.06696
Carfair Composites USA Inc,2714500185,150092,45.48556404,-94.13624751,R,326199,2018,TON,0.08214,0.4108,0.002464,30.844254,0,9.2279002,7.9440016,0.07392
Carfair Composites USA Inc,2714500185,150092,45.4864,-94.139,R,326199,2017,TON,0.8352,4.176,0.02506,28.58548,,8.673264,7.458834,0.7516
Cargill AgHorizons - East and West Elevator Dredge,2713900004,2664,44.7834,-93.3601,D,424510,2019,TON,,,,,,9.06,1.527954,
Cargill AgHorizons - East and West Elevator Dredge,2713900004,2664,44.7834,-93.3601,D,424510,2018,TON,0,0,0,0,0,7.57,1.27212,0
Cargill AgHorizons - Fairmont,2709100061,102165,43.6652,-94.499,R,424510,2019,TON,,,,,,1.52918,0.61961,
Cargill AgHorizons - Fairmont,2709100061,102165,43.6652,-94.499,R,424510,2018,TON,0,0,0,0,0,3.28346,2.51172,0
Cargill AgHorizons - Fairmont,2709100061,102165,43.6652,-94.499,R,424510,2017,TON,,,,,,4.7748,3.32486,
Cargill Feed and Nutrition - Owatonna,2714700075,57049,44.0898,-93.2588,D,311111,2019,TON,1.76,2.095,0.01257,0.1152,0.00001048,0.95089,0.172479,0.06704
Cargill Feed and Nutrition - Owatonna,2714700075,57049,44.0898,-93.2588,D,311111,2018,TON,4.397,5.235,0.03141,0.2879,0.00002618,1.64732,0.304199,0.1675
Cargill Inc - Alberta,2714900004,189,45.57458544,-96.04641585,D,424510,2019,TON,1.136,1.97,0.003931,0.1515,,6.557424,0.00606,
Cargill Inc - Alberta,2714900004,189,45.57458544,-96.04641585,D,424510,2018,TON,1.372,2.378,0.004748,0.183,0,9.228965,0.007318,0
Cargill Inc - Alberta,2714900004,189,45.5745,-96.0455,D,424510,2017,TON,1.124,1.948,0.003889,0.1499,,14.427343,0.005994,
Cargill Inc - Madison,2707300026,36265,45.0086,-96.195,D,424510,2019,TON,0.005733,0.006825,0.00004095,0.0003754,3.413E-08,4.73003549,0.000029348,0.0002184
Cargill Inc - Madison,2707300026,36265,45.0086,-96.195,D,424510,2018,TON,0.002558,0.003045,0.00001827,0.0001675,1.523E-08,4.850015834,0.000013094,0.00009744
Cargill Inc - Madison,2707300026,36265,45.0086,-96.195,D,424510,2017,TON,0.005145,0.006125,0.00003675,0.0003369,3.063E-08,3.91003185,0.000026338,0.000196
Cargill Inc - Maynard,2702300009,2483,44.9063,-95.468,D,424510,2019,TON,0.01101,0.03669,0.00007863,0.0007208,6.553E-08,5.85006815,1.32169636,0.0004194
Cargill Inc - Maynard,2702300009,2483,44.9063,-95.468,D,424510,2018,TON,0.01114,0.03714,0.00007959,0.0007296,6.633E-08,8.07066898,1.82198204,0.0004245
Cargill Inc - Maynard,2702300009,2483,44.9063,-95.468,D,424510,2017,TON,0.009068,0.03023,0.00006477,0.0005937,5.398E-08,7.25005613,1.60818641,0.0003454
Cargill Inc - Miloma,2706300030,144381,43.7908,-95.3276,D,424510,2017,TON,0.0105,0.0125,0.000075,0.0006875,,3.330065,0.00005375,0.0004
Cargill Inc - Pipestone,2711700015,1548,43.9586,-96.3413,D,424510,2019,TON,0.6283,0.748,0.004488,0.04114,0.00000374,3.67389,0.0032168,0.02394
Cargill Inc - Pipestone,2711700015,1548,43.9586,-96.3413,D,424510,2018,TON,1.118,1.332,0.007989,0.07323,0.000006658,7.536924,0.005726,0.04261
Cargill Inc - Pipestone,2711700015,1548,43.9586,-96.3413,D,424510,2017,TON,0.8854,1.054,0.006324,0.05797,0.00000527,9.905481,0.004532,0.03373
Cargill Inc - Process Development,2713900108,50416,44.7831,-93.335,D,54171,2019,TON,0.03318,0.0395,0.000237,3.802173,1.975E-07,0.0002054,0.00016985,0.001264
Cargill Inc - Process Development,2713900108,50416,44.7831,-93.335,D,54171,2018,TON,0.1348,0.1605,0.000963,3.708828,8.025E-07,0.0008346,0.0006902,0.005136
Cargill Inc - Process Development,2713900108,50416,44.7831,-93.335,D,54171,2017,TON,0.07686,0.0915,0.000549,4.005033,4.575E-07,0.0004758,0.0003935,0.002928
Cargill Savage East,2713900007,247,44.78230853,-93.33631524,D,493130,2019,TON,,,,,,5.37,0.9176,
Cargill Savage East,2713900007,247,44.78230853,-93.33631524,D,493130,2018,TON,0,0,0,0,0,6.33,1.085,0
Cargill Savage East,2713900007,247,44.7833,-93.335,D,493130,2017,TON,,,,,,6.6,0.7559,
Cargill Savage West,2713900004,2664,44.7834,-93.3601,D,424510,2017,TON,,,,,,10.64,1.776952,
Cargill Value Added Meats,2704700038,790,43.6256,-93.3563,D,311615,2019,TON,3.061,3.648,0.0219,0.2007,0.00001825,0.01898,0.015695,0.1168
Cargill Value Added Meats,2704700038,790,43.6256,-93.3563,D,311615,2018,TON,3.079,3.669,0.02203,0.2019,0.00001835,0.019092,0.015788,0.1175
Cargill Value Added Meats,2704700038,790,43.6256,-93.3563,D,311615,2017,TON,3.084,3.671,0.02203,1.37934,0.00001836,8.61109,8.641988,0.1175
Caribou Coffee Co Inc,2705301151,92568,45.0438866,-93.3310962,D,311920,2019,TON,1.62887,0.9005,0.01108159,0.150441,,0.61732449,0.081222065,0.0029644
Caribou Coffee Co Inc,2705301151,92568,45.0438866,-93.3310962,D,311920,2018,TON,1.57842,0.77694,0.00896069,0.145239,0,0.26205792,0.079006179,0.002289
Caribou Coffee Co Inc,2705301151,92568,45.0438866,-93.3310962,D,311920,2017,TON,1.448833,1.1248,0.01302382,0.14209,,0.26567647,0.076449108,0.003971
Carl Bolander & Sons Inc,2799000172,4553,0,0,D,327331,2019,TON,,,,,,0.53,0.53,
Carl Bolander & Sons Inc,2799000172,4553,0,0,D,327331,2018,TON,0,0,0,0,0,0.53,0.53,0
Carl Bolander & Sons Inc,2799000172,4553,0,0,D,327331,2017,TON,,,,,,0.53,0.53,
Carleton College,2713100018,2403,44.46345139,-93.15478516,C,611310,2019,TON,5.585688,10.91613,0.390058876,0.7335534,2.60339E-05,0.446357003,0.438810727,0.06080369
Carleton College,2713100018,2403,44.46345139,-93.15478516,C,611310,2018,TON,6.104257,10.09322,0.267806342,0.63527,3.16092E-05,0.312026677,0.303325409,0.05734599
Carleton College,2713100018,2403,44.4622,-93.1542,C,611310,2017,TON,4.843454,7.92495,0.218481084,0.5112188,2.51352E-05,0.233966477,0.229370058,0.03890063
Carley Foundry Inc,2700300238,3243,45.1219,-93.1971,R,331524,2019,TON,2.640179,8.3987889,3.08729382,0.52051356,0.005900656,11.13233614,10.38712491,0.09963741
Carley Foundry Inc,2700300238,3243,45.1219,-93.1971,R,331524,2018,TON,3.23994168,8.32090325,2.617681641,0.674189887,0.005913417,16.27654853,15.30552993,0.12329308
Carley Foundry Inc,2700300238,3243,45.1219,-93.1971,R,331524,2017,TON,2.53948372,8.04701638,2.629206257,0.577494635,0.005258485,15.98792807,15.18138929,0.095763013
CarMax 6008,2705301249,94579,45.081,-93.3726,R,441110,2017,TON,,,,0.654,,0.000278,0.000278,
Carpenter Co - Albert Lea,2704700060,90897,43.6813,-93.348,D,326150,2019,TON,0.07014,0.0835,0.000501,2.170033,4.175E-07,0.0004342,0.00035905,0.002672
Carpenter Co - Albert Lea,2704700060,90897,43.6813,-93.348,D,326150,2018,TON,0.05754,0.0685,0.000411,2.879168,3.425E-07,0.0003562,0.00029455,0.002192
Carpenter Co - Albert Lea,2704700060,90897,43.6813,-93.348,D,326150,2017,TON,0.04326,0.0515,0.000309,3.262833,2.575E-07,0.0002678,0.00022145,0.001648
Carstens Industries Inc,2714500147,256,45.6753,-94.8276,R,336612,2019,TON,,,,16.77048,,8.8813,3.136198,
Carstens Industries Inc,2714500147,256,45.6753,-94.8276,R,336612,2018,TON,0,0,0,11.46213,0,15.645,9.3152,0
Carstens Industries Inc,2714500147,256,45.6753,-94.8276,R,336612,2017,TON,,,,11.77417,,14.744,8.9142,
Carter Day International Inc,2700300198,2039,45.0997,-93.2574,D,333111,2019,TON,0.2934,0.3493,0.002096,2.04921,0.000001746,0.508616,0.2757322,0.01118
Carter Day International Inc,2700300198,2039,45.0997,-93.2574,D,333111,2018,TON,0.2986,0.3555,0.002133,2.30355,0.000001777,1.1462479,0.882408,0.01137
Carter Day International Inc,2700300198,2039,45.0997,-93.2574,D,423820,2017,TON,0.2618,0.3117,0.00187,2.87514,0.000001558,2.339621,1.1419501,0.009973
CAST Corp,2713700339,145856,47.3941,-92.8769,D,331513,2019,TON,0.059,0.07,0,0.004,0,8.418,5.973985,
CAST Corp,2713700339,145856,47.3941,-92.8769,D,331513,2018,TON,0.059,0.084,0.028,0.006,0.063,8.64689,6.487621,0
CAST Corp,2713700339,145856,47.3941,-92.8769,D,331513,2017,TON,0.041,0.058,0.018,0.004,0.04,5.526,4.144941,
Caterpillar Paving Products -Brooklyn Pk,2705300151,615,45.10803045,-93.39865481,D,333120,2019,TON,1.87336,2.26249,0.016168,26.01555,0.0000111,2.184676,1.81367819,0.0712188
Caterpillar Paving Products -Brooklyn Pk,2705300151,615,45.10803045,-93.39865481,D,333120,2018,TON,1.71836,2.07849,0.015068,26.70545,0.00001017,2.25371519,1.87088419,0.0653088
Caterpillar Paving Products -Brooklyn Pk,2705300151,615,45.1078,-93.3992,D,333120,2017,TON,1.55736,1.88649,0.013918,21.08485,0.000009213,1.612717,1.33905919,0.0591688
"Cedar Creek CPA,CMA",2700100021,100202,46.45528953,-93.58767601,D,321114,2019,TON,,,,1.75,,21.07,17.48,
"Cedar Creek CPA,CMA",2700100021,100202,46.45528953,-93.58767601,D,321114,2018,TON,0,0,0,1.96,0,23.25,19.29,0
"Cedar Creek CPA,CMA",2700100021,100202,46.5301,-93.7255,D,321114,2017,TON,,,,6.69,,18.52,15.37,
Cedar Valley Corp - Portable Plant,2799000142,1030,0,0,D,237310,2019,TON,,,,,,0,0,
Cedar Valley Corp - Portable Plant,2799000142,1030,0,0,D,237310,2018,TON,0,0,0,0,0,,,0
Cemstone - Isle,2709500014,6374,0,0,HM,324121,2019,TON,,,,,,0.074,0.025417,
Cemstone - Isle,2709500014,6374,0,0,HM,324121,2018,TON,0,0,0,0,0,0.074,0.025417,0
Cemstone - Isle,2709500014,6374,0,0,HM,324121,2017,TON,2.246174,5.23079,0.5759159,0.50868,0.000002782,0.5473481,0.38052246,0.024412
Cemstone Products - Childs Rd,2712300320,4636,44.9432,-93.0532,D,327320,2019,TON,0.1079,0.1284,0.0007704,0.007062,1.9986E-06,1.7656677,0.7487081,0.004109
Cemstone Products - Childs Rd,2712300320,4636,44.9432,-93.0532,D,327320,2018,TON,0.1462,0.1741,0.001045,0.009576,7.0205E-06,1.9336053,0.8200956,0.005571
Cemstone Products - Childs Rd,2712300320,4636,44.9432,-93.0532,D,327320,2017,TON,0.1229,0.1463,0.0008778,0.008047,6.6215E-06,1.8606608,0.7890001,0.004682
Cemstone Products - Minneapolis,2705300374,1032,45.0046,-93.2778,D,327320,2019,TON,0.4056,0.4829,0.002897,0.02656,0.000012331,3.098541,1.3145502,0.01545
Cemstone Products - Minneapolis,2705300374,1032,45.0046,-93.2778,D,327320,2018,TON,0.3726,0.4436,0.002661,0.0244,0.000012526,3.2257861,1.3682989,0.01419
Cemstone Products - Minneapolis,2705300374,1032,45.0046,-93.2778,D,327320,2017,TON,0.3802,0.4526,0.002716,0.02489,0.000013119,3.414304,1.4486489,0.01448
Cemstone Products Co,2703700268,2126,44.8825,-93.1528,NM,212322,2019,TON,0.8676575,4.031676,0.268425,0.3288223,1.004E-09,0.9106405,0.47391348,0.0194292
Cemstone Products Co,2703700268,2126,44.8825,-93.1528,NM,212322,2018,TON,1.246363,5.79334,0.39536,0.4719945,4.253E-09,1.0007508,0.5914739,0.028138
Cemstone Products Co,2703700268,2126,44.8825,-93.1528,NM,212322,2017,TON,1.151,5.348,0.3515,0.4366,,1.22403,0.635861,0.02568
Cenex Harvest States - Inver Grove Hgts,2703700302,5489,44.86966726,-93.06234057,D,425120,2019,TON,0.4194,1.4592,0.03916,1.99378,0.000001675,0.011084,0.0104245,0.014171
Cenex Harvest States - Inver Grove Hgts,2703700302,5489,44.86966726,-93.06234057,D,425120,2018,TON,0.33703,1.1515,0.019073,2.482054,0.000001627,0.0059978,0.0055399,0.012001
Cenex Harvest States - Inver Grove Hgts,2703700302,5489,44.8695,-93.0625,D,425120,2017,TON,0.3541,1.2334,0.033982,2.11193,0.000001393,0.009574,0.009013,0.011917
Centennial Generating Station,2702700072,137266,46.8655,-96.7466,R,221121,2019,TON,0.28588,1.0794,0.00051014,0.027651,0.00000015,0.0193457,0.0186057,0.007147
Centennial Generating Station,2702700072,137266,46.8655,-96.7466,R,221121,2018,TON,0.20787,0.7848,0.00037095,0.020106,0.00000015,0.0140676,0.0135306,0.005197
Centennial Generating Station,2702700072,137266,46.8655,-96.7466,R,221121,2017,TON,0.23699,0.8948,0.0004229,0.022923,0.00000015,0.0160382,0.0154252,0.005924
CenterPoint Energy - Dakota Station,2703700171,487,44.7948,-93.2564,R,486210,2019,TON,4.25271,15.32571,0.0457217,0.1727523,3.8139E-06,0.21789794,0.142174875,0.7772686
CenterPoint Energy - Dakota Station,2703700171,487,44.7948,-93.2564,R,486210,2018,TON,3.1523785,11.33826,0.0343133,0.11916835,2.67355E-06,0.12061453,0.046327607,0.5857416
CenterPoint Energy - Dakota Station,2703700171,487,44.7948,-93.2564,R,486210,2017,TON,2.557327,9.31388,0.02824504,0.0908965,1.81655E-06,0.118118095,0.017813363,0.4878864
CenterPoint Energy - Golden Valley,2705300887,489,44.99217606,-93.35787964,C,221210,2019,TON,0.12098,0.40252,0.00061819,0.017744,4.605E-07,0.000512784,0.000416767,0.0014459
CenterPoint Energy - Golden Valley,2705300887,489,44.99217606,-93.35787964,C,221210,2018,TON,0.08878,0.27118,0.000476677,0.012102,3.623E-07,0.000398393,0.000324796,0.0009918
CenterPoint Energy - Golden Valley,2705300887,489,44.9902,-93.3595,C,221210,2017,TON,0.098236,0.26154,0.000564088,0.011929,4.395E-07,0.000476055,0.000389608,0.00098709
CenterPoint Energy - South,2705300906,2242,44.89136887,-93.28559113,C,221210,2019,TON,0.901664,1.19463,0.00632477,0.244999,0.000005245,0.005470897,0.004520743,0.0058222
CenterPoint Energy - South,2705300906,2242,44.89136887,-93.28559113,C,221210,2018,TON,0.889706,1.15464,0.00626422,0.206532,0.0000052,0.005420513,0.004479669,0.0056363
CenterPoint Energy - South,2705300906,2242,44.8919,-93.286,C,221210,2017,TON,0.90207,1.2455,0.00628041,0.173563,0.000005198,0.00542743,0.004482748,0.0057524
CentraCare Health,2714500074,119362,45.57533864,-94.16918532,C,622110,2019,TON,9.98783,16.368,0.98793,1.032136,5.19345E-05,0.4982,0.484664,0.09134
CentraCare Health,2714500074,119362,45.57533864,-94.16918532,C,622110,2018,TON,8.46145,10.8491,0.53886,0.602865,4.91698E-05,0.134577,0.122417,0.062175
Central Bi-Products - Long Prairie,2715300006,608,45.9975,-94.8611,R,311111,2019,TON,31.91417,35.86364,26.1328311,2.117705,0.00016015,10.64690158,10.17559836,5.68871
Central Bi-Products - Long Prairie,2715300006,608,45.9975,-94.8611,R,311111,2018,TON,25.599625,30.479751,0.182829,1.89652,0.00014499,9.575731451,9.54826185,5.36417
Central Bi-Products - Long Prairie,2715300006,608,45.9975,-94.8611,R,311111,2017,TON,22.7272598,27.082893,0.162128,1.63518,0.000128498,6.060196439,6.035785153,3.54659
Central Bi-Products - North Redwood,2712700013,2404,44.5746,-95.1146,R,311119,2019,TON,25.5564,38.0398,17.427856,1.81885,0.000117873,8.3198863,7.9788156,4.418239
Central Bi-Products - North Redwood,2712700013,2404,44.5746,-95.1146,R,311119,2018,TON,26.1749,41.8938,1.113387,2.71956,0.000137315,8.5609743,8.5089443,4.563248
Central Bi-Products - North Redwood,2712700013,2404,44.5746,-95.1146,R,311119,2017,TON,26.259,49.1655,1.732645,3.39024,0.000125478,12.359713,12.3126098,5.867267
Central Boiler Inc,2713500023,81672,48.6308,-96.1603,R,333414,2019,TON,0.606362,1.2744132,0.00286071,0.07881424,3.24454E-06,0.03698004,0.03316759,0.0044998
Central Boiler Inc,2713500023,81672,48.6308,-96.1603,R,333414,2018,TON,0.449134,0.878169,0.002333455,0.18974904,2.6764E-06,0.04095875,0.03792187,0.00267545
Central Boiler Inc,2713500023,81672,48.6308,-96.1603,R,333414,2017,TON,0.444957,0.796532,0.009469225,0.32573906,2.9522E-06,0.0289625,0.02601938,0.000725071
Central Farm Service,2703900042,226248,44.02956508,-92.74964224,D,311119,2019,TON,0.8098,0.964,0.005784,0.05302,0.00000482,12.185013,0.051095,0.03085
Central Farm Service,2703900042,226248,44.02956508,-92.74964224,D,311119,2018,TON,0.7652,0.911,0.005466,0.05011,0.000004555,18.084737,0.657817,0.02915
Central Farm Service - Delavan Greenfield,2704300061,144195,43.7666,-94.0081,D,493130,2019,TON,0.3558,0.6167,0.0009487,0.04744,,2.912324,0.0018974,
Central Farm Service - Delavan Greenfield,2704300061,144195,43.7666,-94.0081,D,493130,2018,TON,0.2795,0.4844,0.0007453,0.03727,0,2.901826,0.0014906,0
Central Farm Service - Delavan Greenfield,2704300061,144195,43.7666,-94.0081,D,493130,2017,TON,0.86,1.5,0.002075,0.12,,10.74,0.013912,
Central Farm Service - Randolf,2703700380,140566,44.5358,-93.0139,D,424510,2017,TON,1.29,1.54,0.00923,0.0846,0.00000769,5.337,1.313357,
Central Farm Service - Randolph,2703700380,140566,44.5358,-93.0139,D,424510,2019,TON,1.143,1.361,0.008166,0.07486,0.000006805,7.337077,0.023243,0.04355
Central Farm Service - Randolph,2703700380,140566,44.5358,-93.0139,D,424510,2018,TON,1.05,1.25,0.007497,0.06872,0.000006248,9.066497,0.005372,0.03998
Central Farm Service - Truman Grain & Feedmill,2709100003,1449,43.8266,-94.4389,D,424510,2019,TON,0.2827,0.3365,0.002019,0.01851,0.000001683,6.48175,0.1753572,0.01077
Central Farm Service - Truman Grain & Feedmill,2709100003,1449,43.8266,-94.4389,D,424510,2018,TON,0.1004,0.1195,0.000717,0.006573,5.975E-07,6.3204214,0.6526139,0.003824
Central Farm Service - Truman Grain & Feedmill,2709100003,1449,43.8266,-94.4389,D,424510,2017,TON,0.21,0.36,0.0004994,0.03,,9.37,1.554357,
Central Marble Products Inc,2700900038,3575,45.7195,-94.1912,R,326191,2019,TON,,,,4.827,,4.45,4.45,
Central Marble Products Inc,2700900038,3575,45.7195,-94.1912,R,326191,2018,TON,0,0,0,4.8682,0,3.74,3.74,0
Central Marble Products Inc,2700900038,3575,45.7195,-94.1912,R,326191,2017,TON,,,,5.3183,,4.15,4.15,
Central Minnesota Fabricating Inc,2706700035,3390,45.1247,-95.0817,D,332312,2019,TON,,,,9.08,,5.52,4.58,
Central Minnesota Fabricating Inc,2706700035,3390,45.1247,-95.0817,D,332312,2018,TON,0,0,0,9.1,0,5.59,4.639,0
Central Minnesota Fabricating Inc,2706700035,3390,45.1247,-95.0817,D,332312,2017,TON,,,,8.83,,5.49,4.556,
Central Minnesota Prefinishing,2714500184,144383,45.5665,-94.277,D,321918,2019,TON,0.0328,0.03905,0.0002343,5.105148,1.953E-07,2.3922031,1.98516796,0.00125
Central Minnesota Prefinishing,2714500184,144383,45.5665,-94.277,D,321918,2018,TON,0.03278,0.03902,0.0002341,3.779146,1.951E-07,1.43420294,1.19016782,0.001249
Central Minnesota Prefinishing,2714500184,144383,45.5665,-94.277,D,332321,2017,TON,0.02549,0.03034,0.000182,3.422669,1.517E-07,1.4921578,1.23813046,0.0009709
Central MN Renewables,2709700026,8059,46.0214,-94.3387,R,325193,2019,TON,4.11483,7.93195,0.076926,22.2790604,0.0000604,1.433813,1.4180754,0.3867963
Central MN Renewables,2709700026,8059,46.0214,-94.3387,R,325193,2018,TON,3.71115,7.21342,0.057249,37.25636135,0.00004423,1.481916,1.43168913,0.2834245
Central MN Renewables,2709700026,8059,46.0214,-94.3387,R,325193,2017,TON,5.1592,10.03212,0.079671,22.567311,0.00006541,1.47652,1.443956,0.418687
Central Research Laboratories,2704900091,47855,44.5772,-92.6043,D,333999,2019,TON,0.392,0.4667,0.0028,8.36867,0.000002333,7.508427,6.2300063,0.01493
Central Research Laboratories,2704900091,47855,44.5772,-92.6043,D,333999,2018,TON,0.392,0.4667,0.0028,7.62167,0.000002333,7.0374263,5.8400063,0.01493
