name,id,align,eye,hair,sex,alive,x
Pedro Pe\u00f1a (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(129.75, -72.25)"
Jack Dulouz (Earth-616),Secret Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters,"c(131.25, -72.25)"
Count von Steuben (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(139.25, -72.25)"
Max (Cameraman) (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(139.75, -72.25)"
That Which Endures (Earth-616),Secret Identity,NA,NA,No Hair,NA,Living Characters,"c(140.75, -72.25)"
Electron (Retrievers) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(145.75, -72.25)"
Jaime Maldonado (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(147.25, -72.25)"
Brane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,"c(148.75, -72.25)"
Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,"c(149.25, -72.25)"
Avir (New Earth),Public Identity,Good Characters,Black Eyes,White Hair,Female Characters,Deceased Characters,"c(150.75, -72.25)"
Ayla Ranefer (Earth-616),Secret Identity,Bad Characters,Blue Eyes,NA,Female Characters,Living Characters,"c(152.25, -72.25)"
Svenzaldo Zambooba (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(156.75, -72.25)"
Pandora II (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(159.25, -72.25)"
Sally Frosby (Earth-616),Public Identity,Good Characters,NA,Blond Hair,Female Characters,Living Characters,"c(160.25, -72.25)"
Yologarch (Earth-616),NA,Bad Characters,NA,NA,NA,Living Characters,"c(162.25, -72.25)"
Jack O'Lantern (Crime-Master's) (Earth-616),Secret Identity,Bad Characters,Hazel Eyes,Black Hair,Male Characters,Living Characters,"c(167.75, -72.25)"
Embyrre (Earth-616),NA,Good Characters,Black Eyes,Bald,Female Characters,Living Characters,"c(-69.75, -71.75)"
Chogar (New Earth),NA,Good Characters,NA,NA,NA,Deceased Characters,"c(-65.25, -71.75)"
Nanny (Magneto's Robot) (Earth-616),Public Identity,Bad Characters,NA,NA,Female Characters,Living Characters,"c(-64.75, -71.75)"
Gerome McKenna (New Earth),Secret Identity,Good Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-62.75, -71.75)"
Von Gotch (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-61.75, -71.75)"
Doctor Brucknerr (Earth-616),Public Identity,Bad Characters,NA,Bald,Male Characters,Living Characters,"c(-11.25, -71.75)"
Zala Dane (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,"c(-7.74999999999997, -71.75)"
Myrra Rhodes (New Earth),Secret Identity,Good Characters,NA,NA,Female Characters,Living Characters,"c(-5.24999999999997, -71.75)"
Demon Riders (Mogul servants) (Earth-616),NA,Bad Characters,NA,NA,NA,Living Characters,"c(-4.24999999999997, -71.75)"
Lucian Crawley (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-2.74999999999997, -71.75)"
Mark Antaeus (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,"c(-2.24999999999997, -71.75)"
Barium (New Earth),Secret Identity,Bad Characters,Photocellular Eyes,NA,Male Characters,Living Characters,"c(-0.249999999999972, -71.75)"
Helena Carlson (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(0.750000000000028, -71.75)"
Erik Lonnroth (Earth-616),Public Identity,NA,Green Eyes,Red Hair,Male Characters,Deceased Characters,"c(1.25000000000003, -71.75)"
Maeve Rourke (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Deceased Characters,"c(2.75000000000003, -71.75)"
Mondo Pain (Earth-616),NA,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(3.25000000000003, -71.75)"
Madame la Morte (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Female Characters,Deceased Characters,"c(3.75000000000003, -71.75)"
Sir Ram (Earth-616),Secret Identity,Good Characters,NA,Grey Hair,Male Characters,Living Characters,"c(4.25000000000003, -71.75)"
Muraitak (Earth-616),Public Identity,NA,NA,NA,Male Characters,Living Characters,"c(4.75000000000003, -71.75)"
Pseter Psarker (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(6.75000000000003, -71.75)"
Sturm (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(7.75000000000003, -71.75)"
Zebra Daddy (Earth-616),NA,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(9.25000000000003, -71.75)"
E. Wilbur Wolfingham (New Earth),Public Identity,NA,NA,Brown Hair,Male Characters,Living Characters,"c(15.25, -71.75)"
Tailgunner (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(15.75, -71.75)"
Sarak (Earth-616),NA,Good Characters,NA,NA,NA,Living Characters,"c(17.25, -71.75)"
Lyle Crawford (Earth-616),Public Identity,Bad Characters,NA,Bald,Male Characters,Living Characters,"c(18.25, -71.75)"
Snitch (Butch) (Earth-616),Secret Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(20.75, -71.75)"
Doctor Smart (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(21.25, -71.75)"
Emma Connors (New Earth),Secret Identity,Bad Characters,NA,Blond Hair,Female Characters,Deceased Characters,"c(21.75, -71.75)"
Jack Bascomb (Earth-616),NA,NA,NA,Brown Hair,Male Characters,Living Characters,"c(23.25, -71.75)"
Imdugud (Earth-616),NA,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,"c(26.75, -71.75)"
Snake Lady of Sinyong (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Female Characters,Deceased Characters,"c(27.75, -71.75)"
Jack Weston (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(28.75, -71.75)"
Scout (Mutant) (Earth-616),Secret Identity,Good Characters,Green Eyes,Yellow Hair,Male Characters,Living Characters,"c(29.75, -71.75)"
Farouk Al-Fasaud (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Living Characters,"c(31.25, -71.75)"
Roderick Kingsley (Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,"c(33.75, -71.75)"
Tito Bohusk (Earth-616),Public Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(34.25, -71.75)"
Dolly Donahue (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,"c(35.75, -71.75)"
Alynn Chambers (Earth-616),NA,NA,NA,NA,Female Characters,Living Characters,"c(37.25, -71.75)"
Stegor (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,"c(40.75, -71.75)"
Anne Ghazikhanian (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,"c(42.25, -71.75)"
Daraxus Dax (Earth-616),Public Identity,NA,Brown Eyes,No Hair,Male Characters,Living Characters,"c(44.25, -71.75)"
Matthew (Mutant) (Earth-616),NA,NA,Black Eyes,Brown Hair,Male Characters,Living Characters,"c(45.25, -71.75)"
Thomas Logan (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,"c(46.25, -71.75)"
Trung Tuan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(47.25, -71.75)"
Lefty (New Earth),Public Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,"c(48.25, -71.75)"
Calvin Coolidge (New Earth),NA,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(48.75, -71.75)"
Jack Hazzard (Earth-616),Secret Identity,NA,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(49.75, -71.75)"
Samantha McGee (Earth-616),NA,Bad Characters,NA,Brown Hair,Female Characters,Living Characters,"c(50.25, -71.75)"
Kruul (New Earth),Secret Identity,Good Characters,Black Eyes,NA,Male Characters,Deceased Characters,"c(50.75, -71.75)"
Annie Wong (Earth-616),NA,NA,NA,Black Hair,Female Characters,Living Characters,"c(55.25, -71.75)"
Luna Maximoff (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(56.25, -71.75)"
Maxwell Shiffman (Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,"c(58.75, -71.75)"
Fagin (Earth-616),Secret Identity,NA,NA,Brown Hair,Male Characters,Deceased Characters,"c(60.25, -71.75)"
Yoshi (Earth-616),Secret Identity,NA,Black Eyes,Black Hair,Male Characters,Deceased Characters,"c(62.75, -71.75)"
Corben Rubinstein (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,Deceased Characters,"c(63.75, -71.75)"
Aurakles (New Earth),Secret Identity,NA,Green Eyes,Red Hair,Male Characters,Living Characters,"c(66.75, -71.75)"
Quench (Habit Heroes) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,"c(67.25, -71.75)"
K.P. Watson (New Earth),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Living Characters,"c(67.75, -71.75)"
Joe Morita (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(72.75, -71.75)"
Chu Jung Impostor (New Earth),NA,NA,White Eyes,NA,Male Characters,Living Characters,"c(75.25, -71.75)"
Skr'kl (New Earth),Public Identity,Good Characters,Black Eyes,NA,Male Characters,Deceased Characters,"c(76.25, -71.75)"
Spinner (Earth-616),Known to Authorities Identity,Good Characters,NA,Blond Hair,Female Characters,Living Characters,"c(77.25, -71.75)"
Geldhoff (Earth-616),Public Identity,NA,NA,Brown Hair,Male Characters,Living Characters,"c(77.75, -71.75)"
Bernard Dowd (New Earth),Public Identity,NA,NA,Blond Hair,Male Characters,Living Characters,"c(79.25, -71.75)"
Sketch (Earth-616),Secret Identity,Good Characters,NA,NA,Female Characters,Living Characters,"c(79.75, -71.75)"
Black Cloak (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(82.75, -71.75)"
Charles Bohusk (Earth-616),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(83.25, -71.75)"
Strongman (Spider-Squad) (Earth-616),NA,NA,NA,NA,NA,Living Characters,"c(86.75, -71.75)"
Emil Nikos (Earth-616),No Dual Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(89.25, -71.75)"
Azir (Earth-616),NA,NA,NA,NA,Female Characters,Living Characters,"c(93.75, -71.75)"
Muse (New Earth),Secret Identity,Bad Characters,NA,White Hair,Male Characters,Living Characters,"c(94.25, -71.75)"
Mechano (Earth-616),NA,Bad Characters,White Eyes,No Hair,NA,Living Characters,"c(97.75, -71.75)"
Charles Manor (Earth-616),NA,NA,NA,NA,NA,Living Characters,"c(98.75, -71.75)"
Genrami (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(99.25, -71.75)"
Altin Ad'Ms (New Earth),Public Identity,Good Characters,White Eyes,NA,Male Characters,Living Characters,"c(100.75, -71.75)"
Cecilia (S.W.O.R.D.) (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(103.25, -71.75)"
Lobo (William Talltrees' 1st) (Earth-616),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(104.25, -71.75)"
Vlad Tepulus (Earth-616),Public Identity,NA,NA,NA,Male Characters,Living Characters,"c(104.75, -71.75)"
Richard Taine (Earth-616),Secret Identity,NA,NA,NA,Male Characters,Living Characters,"c(105.75, -71.75)"
John Henry Irons (New Earth),Public Identity,Good Characters,Brown Eyes,NA,Male Characters,Living Characters,"c(107.25, -71.75)"
Fledermaus (New Earth),Secret Identity,Bad Characters,NA,Red Hair,Male Characters,Deceased Characters,"c(109.75, -71.75)"
Bill Merrick (Earth-616),Secret Identity,NA,NA,Blond Hair,Male Characters,Living Characters,"c(110.25, -71.75)"
Robot Gamma (Earth-616),Secret Identity,NA,NA,NA,NA,Deceased Characters,"c(112.25, -71.75)"
Dale Yorkes (Earth-616),Public Identity,Bad Characters,Green Eyes,Grey Hair,Male Characters,Deceased Characters,"c(113.75, -71.75)"
Leaper Logan (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(115.25, -71.75)"
Bizarro Supergirl (New Earth),NA,NA,NA,NA,Female Characters,Living Characters,"c(117.25, -71.75)"
Oberon Sexton (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(119.75, -71.75)"
Dusk (Demon) (Earth-616),NA,Bad Characters,NA,NA,NA,Living Characters,"c(122.25, -71.75)"
Marcus (Kate Bishop's neighbor) (Earth-616),Public Identity,Good Characters,Hazel Eyes,Bald,Male Characters,Living Characters,"c(123.75, -71.75)"
Nallo (Earth-616),Public Identity,NA,Red Eyes,No Hair,Male Characters,Living Characters,"c(127.75, -71.75)"
Boss (FBI) (Earth-616),No Dual Identity,NA,NA,Grey Hair,Male Characters,Living Characters,"c(129.25, -71.75)"
Achebe (Earth-616),Secret Identity,NA,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(129.75, -71.75)"
Candy Fraser (Earth-616),Public Identity,NA,NA,NA,Female Characters,Deceased Characters,"c(130.75, -71.75)"
Rex Carpenter (Earth-616),No Dual Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(131.25, -71.75)"
Akihira (Earth-616),Secret Identity,NA,Black Eyes,Black Hair,Male Characters,Deceased Characters,"c(131.75, -71.75)"
Brains (New Earth),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(133.25, -71.75)"
Sega (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(136.25, -71.75)"
Ortlinda (Earth-616),Public Identity,NA,NA,Blond Hair,Female Characters,Living Characters,"c(137.25, -71.75)"
Killa (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(138.75, -71.75)"
Karl Gluten (Earth-616),No Dual Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(139.25, -71.75)"
Rebecca Agee (Earth-616),NA,NA,NA,NA,Female Characters,Living Characters,"c(140.75, -71.75)"
Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,"c(141.25, -71.75)"
James Ilse (Earth-616),Public Identity,Bad Characters,NA,White Hair,Male Characters,Deceased Characters,"c(144.75, -71.75)"
Wadlow (Earth-616),Secret Identity,NA,NA,NA,Male Characters,Living Characters,"c(145.25, -71.75)"
Mona Welles (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Female Characters,Deceased Characters,"c(145.75, -71.75)"
Conrad Strathdee (Earth-616),Secret Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(146.75, -71.75)"
Sara Harrington (Earth-616),Public Identity,NA,Blue Eyes,Red Hair,Female Characters,Living Characters,"c(147.75, -71.75)"
Denham (Earth-616),NA,NA,Brown Eyes,Blond Hair,Male Characters,Deceased Characters,"c(151.25, -71.75)"
Haasp (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(151.75, -71.75)"
Jake Jones (Earth-616),Public Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(153.75, -71.75)"
Betty Crane (Earth-616),No Dual Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(155.25, -71.75)"
Blockhouse II (New Earth),Secret Identity,Bad Characters,NA,Blond Hair,Male Characters,Living Characters,"c(157.75, -71.75)"
Mrs. Levy (New Earth),Public Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(158.75, -71.75)"
Linda Carter (Earth-616),Secret Identity,Good Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters,"c(169.25, -71.75)"
Linda Strauss (New Earth),Secret Identity,Good Characters,NA,Blond Hair,Female Characters,Deceased Characters,"c(169.75, -71.75)"
Aria (Earth-616),No Dual Identity,Good Characters,White Eyes,Purple Hair,Female Characters,Deceased Characters,"c(170.75, -71.75)"
James Howlett (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Deceased Characters,"c(-70.25, -71.25)"
Sol Brodstroke (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-68.25, -71.25)"
Scarface Rispoli (Earth-616),Public Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-66.75, -71.25)"
Oswald Boeglin (Earth-616),Secret Identity,Bad Characters,NA,Red Hair,Male Characters,Deceased Characters,"c(-65.75, -71.25)"
Whitmore (Earth-616),Public Identity,NA,Black Eyes,Brown Hair,NA,Living Characters,"c(-65.25, -71.25)"
Lena (New Earth),NA,NA,NA,NA,Female Characters,Living Characters,"c(-61.25, -71.25)"
Richard Rory (Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-9.74999999999997, -71.25)"
Gerald Ford (New Earth),NA,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-6.74999999999997, -71.25)"
Joelle (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,"c(-6.24999999999997, -71.25)"
Jonah McCarthy (New Earth),Public Identity,NA,NA,Brown Hair,Male Characters,Deceased Characters,"c(3.25000000000003, -71.25)"
Damon Mathias (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(4.75000000000003, -71.25)"
Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,"c(7.25000000000003, -71.25)"
Kuro Chin (Earth-616),Secret Identity,Good Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(9.25000000000003, -71.25)"
Julian Hayden (New Earth),NA,NA,NA,Brown Hair,Male Characters,Living Characters,"c(11.25, -71.25)"
Tangerine (Earth-616),Secret Identity,Good Characters,NA,Orange Hair,Female Characters,Living Characters,"c(12.25, -71.25)"
Captain Brool (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(13.25, -71.25)"
Arcturus (Angel) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(13.75, -71.25)"
Doyle (Earth-616),Public Identity,NA,Brown Eyes,Black Hair,Male Characters,Deceased Characters,"c(16.25, -71.25)"
Doctor Ogada (Earth-616),Secret Identity,NA,NA,Bald,Male Characters,Living Characters,"c(17.25, -71.25)"
Herfjotur (Earth-616),NA,Good Characters,NA,Blond Hair,Female Characters,Living Characters,"c(18.25, -71.25)"
Randy Allen (Earth-616),No Dual Identity,NA,NA,NA,Male Characters,Living Characters,"c(19.75, -71.25)"
June Robbins (New Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,"c(21.25, -71.25)"
Rene D'Auvergne (Earth-616),Public Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,"c(24.75, -71.25)"
Donald Campbell (New Earth),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(25.75, -71.25)"
Beautiful Dreamer (Mannites) (Earth-616),NA,NA,Blue Eyes,Bald,NA,Living Characters,"c(28.25, -71.25)"
Jeff Colt (Earth-616),NA,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(28.75, -71.25)"
Ch'rith (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Female Characters,Deceased Characters,"c(32.25, -71.25)"
Ursa the Man-Bear (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(37.25, -71.25)"
Rutherford B. Hayes (New Earth),NA,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(40.25, -71.25)"
Larissa (Earth-616),NA,Bad Characters,NA,NA,Female Characters,Deceased Characters,"c(42.75, -71.25)"
Ukko (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(43.75, -71.25)"
Armand Krol (New Earth),Public Identity,Bad Characters,NA,Brown Hair,Male Characters,Deceased Characters,"c(44.25, -71.25)"
Oldar (Earth-616),Public Identity,NA,NA,White Hair,Female Characters,Living Characters,"c(44.75, -71.25)"
Bill Astin (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(45.25, -71.25)"
Whiteout (New Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Male Characters,Living Characters,"c(46.25, -71.25)"
Dante (Shadow Consortium) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(46.75, -71.25)"
Sam (US Army) (Earth-616),Public Identity,NA,NA,NA,Male Characters,Living Characters,"c(47.25, -71.25)"
Jane Jones (Earth-616),Public Identity,NA,Green Eyes,Red Hair,Female Characters,Living Characters,"c(49.75, -71.25)"
Arranger (Scarlet Spider) (Earth-616),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(50.75, -71.25)"
Owen Reece (Earth-616),Secret Identity,NA,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,"c(51.75, -71.25)"
Ulla (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Female Characters,Living Characters,"c(53.75, -71.25)"
Russian (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Deceased Characters,"c(55.25, -71.25)"
Linbythoum (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(58.25, -71.25)"
Starktech 9 (Earth-616),NA,Good Characters,Blue Eyes,No Hair,Male Characters,Deceased Characters,"c(59.25, -71.25)"
Rebecca Banner (Earth-616),NA,Good Characters,NA,Brown Hair,Female Characters,Living Characters,"c(59.75, -71.25)"
Stronghold (Heavy Mettle) (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(62.25, -71.25)"
Nicky Lincoln (New Earth),Public Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(63.25, -71.25)"
Frank Castle (Earth-616),Public Identity,NA,Blue Eyes,Black Hair,Male Characters,Living Characters,"c(66.25, -71.25)"
Theodore Roosevelt (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(66.75, -71.25)"
Heino Okata (New Earth),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(71.75, -71.25)"
Roak (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(72.75, -71.25)"
Headhunter (Mutant) (Earth-616),Secret Identity,Bad Characters,Red Eyes,Red Hair,Female Characters,Living Characters,"c(74.75, -71.25)"
Tan (Earth-616),No Dual Identity,NA,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(76.75, -71.25)"
Mister Fowler (New Earth),NA,NA,NA,NA,Male Characters,Living Characters,"c(79.75, -71.25)"
Lord Malvolio (New Earth),Secret Identity,Bad Characters,NA,Grey Hair,Male Characters,Living Characters,"c(80.25, -71.25)"
Chill (New Earth),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(87.25, -71.25)"
GenderTest,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(88.75, -71.25)"
A3 (Earth-616),NA,Bad Characters,NA,NA,NA,Deceased Characters,"c(90.75, -71.25)"
Ultron (Heroes Reborn) (Earth-616),Public Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,"c(91.75, -71.25)"
Esteban Morales (Earth-616),NA,NA,NA,Black Hair,Male Characters,Deceased Characters,"c(93.25, -71.25)"
Chandi (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(94.75, -71.25)"
Sabrina Morrel (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Female Characters,Living Characters,"c(95.25, -71.25)"
Angel of Death (Dark Angel) (Earth-616),Secret Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(96.25, -71.25)"
Sidney Speck (New Earth),Secret Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(97.25, -71.25)"
Skitz (Earth-616),Secret Identity,NA,NA,NA,Female Characters,Living Characters,"c(98.25, -71.25)"
Lorna Dane (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Living Characters,"c(100.75, -71.25)"
Sabu (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(105.75, -71.25)"
Lancelot (Iron Fist Ally) (Earth-616),Public Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(107.25, -71.25)"
Spol (New Earth),Secret Identity,Good Characters,Red Eyes,NA,Male Characters,Living Characters,"c(109.75, -71.25)"
"Joseph Danvers, Jr. (Earth-616)",NA,NA,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(112.75, -71.25)"
Saguri (Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,Deceased Characters,"c(115.25, -71.25)"
Jack Hollinster (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,"c(117.75, -71.25)"
Tara Morgan (New Earth),Public Identity,Good Characters,NA,Brown Hair,Female Characters,Living Characters,"c(119.25, -71.25)"
Remoni-Notra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,"c(119.75, -71.25)"
Trigor (Earth-616),Public Identity,NA,NA,Grey Hair,Male Characters,Living Characters,"c(121.25, -71.25)"
Courtney Mason (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,"c(123.75, -71.25)"
Junipur (Earth-616),NA,Good Characters,NA,NA,Female Characters,Living Characters,"c(126.75, -71.25)"
Maggie (Mutant) (Earth-616),NA,NA,Black Eyes,Brown Hair,Female Characters,Living Characters,"c(129.25, -71.25)"
Hanna Verschlagen (Earth-616),NA,Bad Characters,NA,NA,Female Characters,Deceased Characters,"c(130.75, -71.25)"
Ted Grant (New Earth),Secret Identity,NA,Blue Eyes,Black Hair,Male Characters,Living Characters,"c(131.25, -71.25)"
Brock Rumlow (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(133.25, -71.25)"
Vradec (Earth-616),NA,Good Characters,NA,Blond Hair,Female Characters,Living Characters,"c(133.75, -71.25)"
Ophis (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(136.75, -71.25)"
Stephen Beckley (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,"c(138.75, -71.25)"
Petras Petragon (Earth-616),Secret Identity,Good Characters,White Eyes,Green Hair,Male Characters,Living Characters,"c(141.75, -71.25)"
Tako Shamara II (Earth-616),No Dual Identity,NA,NA,NA,Male Characters,Living Characters,"c(145.75, -71.25)"
Shy'tarra (Earth-616),Public Identity,Good Characters,White Eyes,NA,Male Characters,Living Characters,"c(146.25, -71.25)"
Djinn (New Earth),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(148.25, -71.25)"
Thomas Gideon (Earth-616),NA,NA,White Eyes,Orange Hair,Male Characters,Living Characters,"c(148.75, -71.25)"
Louis (FBI) (Earth-616),No Dual Identity,NA,NA,Blond Hair,Male Characters,Living Characters,"c(150.25, -71.25)"
Albrecht Krieger (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(150.75, -71.25)"
